page,viewport,element,field,old,new
descargar-informacion,desktop,section-2-845,h,"763","766"
descargar-informacion,desktop,div_block-3-845,h,"613","616"
descargar-informacion,desktop,_rich_text-40-845,h,"613","616"
ul-polvo,desktop,section-2-820,h,"1783","1765"
ul-polvo,desktop,_rich_text-22-820,h,"342","324"
maquiladores,desktop,section-16-771,h,"4131","4159"
maquiladores,desktop,new_columns-17-771,h,"4032","4060"
maquiladores,desktop,div_block-18-771,h,"4032","4060"
maquiladores,desktop,headline-21-771,y,"861","864"
maquiladores,desktop,headline-23-771,y,"1408","1412"
maquiladores,desktop,headline-24-771,y,"1466","1470"
maquiladores,desktop,_rich_text-25-771,y,"1524","1529"
maquiladores,desktop,headline-26-771,y,"1602","1608"
maquiladores,desktop,_rich_text-27-771,y,"1660","1667"
maquiladores,desktop,headline-28-771,y,"1796","1804"
maquiladores,desktop,_rich_text-29-771,y,"1854","1862"
maquiladores,desktop,headline-30-771,y,"1960","1971"
maquiladores,desktop,_rich_text-31-771,y,"2019","2029"
maquiladores,desktop,headline-32-771,y,"2363","2375"
maquiladores,desktop,_rich_text-33-771,y,"2421","2433"
maquiladores,desktop,headline-34-771,y,"2661","2675"
maquiladores,desktop,_rich_text-35-771,y,"2719","2733"
maquiladores,desktop,headline-36-771,y,"3301","3317"
maquiladores,desktop,_rich_text-37-771,y,"3359","3375"
maquiladores,desktop,headline-38-771,y,"3465","3484"
maquiladores,desktop,_rich_text-39-771,y,"3524","3542"
maquiladores,desktop,headline-40-771,y,"3601","3622"
maquiladores,desktop,_rich_text-41-771,y,"3660","3680"
maquiladores,desktop,headline-42-771,y,"3766","3788"
maquiladores,desktop,_rich_text-43-771,y,"3825","3847"
maquiladores,desktop,headline-44-771,y,"3931","3955"
maquiladores,desktop,_rich_text-45-771,y,"3989","4014"
maquiladores,desktop,headline-46-771,y,"4096","4122"
maquiladores,desktop,_rich_text-47-771,y,"4154","4180"
condiciones-de-uso,desktop,section-2-747,h,"5673","5763"
condiciones-de-uso,desktop,_rich_text-7-747,h,"5343","5433"
politica-de-privacidad,desktop,section-10-740,h,"10516","10610"
politica-de-privacidad,desktop,_rich_text-8-740,h,"5309","5358"
politica-de-privacidad,desktop,shortcode-9-740,y,"5565","5613"
politica-de-privacidad,desktop,shortcode-9-740,h,"2275","2285"
politica-de-privacidad,desktop,div_block-19-740,y,"7854","7913"
politica-de-privacidad,desktop,div_block-19-740,h,"2587","2623"
politica-de-privacidad,desktop,headline-16-740,y,"7854","7913"
politica-de-privacidad,desktop,_rich_text-20-740,y,"7913","7971"
politica-de-privacidad,desktop,_rich_text-20-740,h,"2528","2564"
varillas-de-refuerzo,desktop,section-4-734,h,"1081","1119"
varillas-de-refuerzo,desktop,new_columns-5-734,h,"982","1020"
varillas-de-refuerzo,desktop,div_block-6-734,h,"982","1020"
varillas-de-refuerzo,desktop,_rich_text-8-734,h,"792","830"
trailers-2,desktop,section-5-732,h,"1184","1190"
trailers-2,desktop,new_columns-6-732,h,"1085","1091"
trailers-2,desktop,div_block-7-732,h,"1085","1091"
trailers-2,desktop,headline-12-732,y,"1093","1097"
trailers-2,desktop,_rich_text-13-732,y,"1151","1156"
aplicaciones-industriales-generales,desktop,section-4-727,h,"1652","1658"
aplicaciones-industriales-generales,desktop,new_columns-5-727,h,"1553","1559"
aplicaciones-industriales-generales,desktop,div_block-6-727,h,"1553","1559"
aplicaciones-industriales-generales,desktop,headline-18-727,y,"1399","1403"
aplicaciones-industriales-generales,desktop,_rich_text-17-727,y,"1457","1461"
repintado-de-automoviles,desktop,section-4-718,h,"1552","1560"
repintado-de-automoviles,desktop,new_columns-5-718,h,"1453","1461"
